0;0xaae6;FUN_InstallCrack
341;0xb884;io_shiftkey
342;0xb770;setphysic
343;0xb7ee;SYS_GetMouse
344;0xb812;SYS_Joystick
345;0xb884;io_shiftkey
346;0xb884;io_shiftkey
347;0xb884;io_shiftkey
348;0xb7ee;SYS_GetMouse
349;0xb812;SYS_Joystick
350;0xb884;io_shiftkey
351;0xb884;io_shiftkey
352;0xb884;io_shiftkey
353;0xb7ee;SYS_GetMouse
354;0xb812;SYS_Joystick
355;0xb884;io_shiftkey
356;0xb884;io_shiftkey
357;0xb884;io_shiftkey
358;0xb770;setphysic
359;0xb7ee;SYS_GetMouse
360;0xb812;SYS_Joystick
361;0xb884;io_shiftkey
362;0xb884;io_shiftkey
363;0xb884;io_shiftkey
364;0xb7ee;SYS_GetMouse
365;0xb812;SYS_Joystick
366;0xb884;io_shiftkey
367;0xb884;io_shiftkey
368;0xb884;io_shiftkey
369;0xb7ee;SYS_GetMouse
370;0xb812;SYS_Joystick
371;0xb884;io_shiftkey
372;0xb884;io_shiftkey
373;0xb884;io_shiftkey
374;0xb770;setphysic
375;0xb7ee;SYS_GetMouse
376;0xb812;SYS_Joystick
377;0xb884;io_shiftkey
378;0xb884;io_shiftkey
379;0xb884;io_shiftkey
380;0xb7ee;SYS_GetMouse
381;0xb812;SYS_Joystick
382;0xb884;io_shiftkey
383;0xb884;io_shiftkey
384;0xb884;io_shiftkey
385;0xb7ee;SYS_GetMouse
386;0xb812;SYS_Joystick
387;0xb884;io_shiftkey
388;0xb884;io_shiftkey
389;0xb884;io_shiftkey
390;0xb770;setphysic
391;0xb7ee;SYS_GetMouse
392;0xb812;SYS_Joystick
393;0xb884;io_shiftkey
394;0xb884;io_shiftkey
395;0xb884;io_shiftkey
396;0xb7ee;SYS_GetMouse
397;0xb812;SYS_Joystick
398;0xb884;io_shiftkey
399;0xb884;io_shiftkey
400;0xb884;io_shiftkey
401;0xb7ee;SYS_GetMouse
402;0xb812;SYS_Joystick
403;0xb884;io_shiftkey
404;0xb884;io_shiftkey
405;0xb884;io_shiftkey
406;0xb770;setphysic
407;0xb7ee;SYS_GetMouse
408;0xb812;SYS_Joystick
409;0xb884;io_shiftkey
410;0xb884;io_shiftkey
411;0xb884;io_shiftkey
412;0xb7ee;SYS_GetMouse
413;0xb812;SYS_Joystick
414;0xb884;io_shiftkey
415;0xb884;io_shiftkey
416;0xb884;io_shiftkey
417;0xb7ee;SYS_GetMouse
418;0xb812;SYS_Joystick
419;0xb884;io_shiftkey
420;0xb884;io_shiftkey
421;0xb884;io_shiftkey
422;0xb770;setphysic
423;0xb7ee;SYS_GetMouse
424;0xb812;SYS_Joystick
425;0xb884;io_shiftkey
426;0xb884;io_shiftkey
427;0xb884;io_shiftkey
428;0xb7ee;SYS_GetMouse
429;0xb812;SYS_Joystick
430;0xb884;io_shiftkey
431;0xb884;io_shiftkey
432;0xb884;io_shiftkey
433;0xb7ee;SYS_GetMouse
434;0xb812;SYS_Joystick
435;0xb884;io_shiftkey
436;0xb884;io_shiftkey
437;0xb884;io_shiftkey
438;0xb770;setphysic
439;0xb7ee;SYS_GetMouse
440;0xb812;SYS_Joystick
441;0xb884;io_shiftkey
442;0xb884;io_shiftkey
443;0xb884;io_shiftkey
444;0xb7ee;SYS_GetMouse
445;0xb812;SYS_Joystick
446;0xb884;io_shiftkey
447;0xb884;io_shiftkey
448;0xb884;io_shiftkey
449;0xb7ee;SYS_GetMouse
450;0xb812;SYS_Joystick
451;0xb884;io_shiftkey
452;0xb884;io_shiftkey
453;0xb884;io_shiftkey
454;0xb770;setphysic
455;0xb7ee;SYS_GetMouse
456;0xb812;SYS_Joystick
457;0xb884;io_shiftkey
458;0xb884;io_shiftkey
459;0xb884;io_shiftkey
460;0xb7ee;SYS_GetMouse
461;0xb812;SYS_Joystick
462;0xb884;io_shiftkey
463;0xb884;io_shiftkey
464;0xb884;io_shiftkey
465;0xb7ee;SYS_GetMouse
466;0xb812;SYS_Joystick
467;0xb884;io_shiftkey
468;0xb884;io_shiftkey
469;0xb884;io_shiftkey
470;0xb770;setphysic
471;0xb7ee;SYS_GetMouse
472;0xb812;SYS_Joystick
473;0xb884;io_shiftkey
474;0xb884;io_shiftkey
475;0xb884;io_shiftkey
476;0xb7ee;SYS_GetMouse
477;0xb812;SYS_Joystick
478;0xb884;io_shiftkey
479;0xb884;io_shiftkey
480;0xb884;io_shiftkey
481;0xb7ee;SYS_GetMouse
482;0xb812;SYS_Joystick
483;0xb884;io_shiftkey
484;0xb884;io_shiftkey
485;0xb884;io_shiftkey
486;0xb770;setphysic
487;0xb7ee;SYS_GetMouse
488;0xb812;SYS_Joystick
489;0xb884;io_shiftkey
490;0xb884;io_shiftkey
491;0xb884;io_shiftkey
492;0xb7ee;SYS_GetMouse
493;0xb812;SYS_Joystick
494;0xb884;io_shiftkey
495;0xb884;io_shiftkey
496;0xb884;io_shiftkey
497;0xb7ee;SYS_GetMouse
498;0xb812;SYS_Joystick
499;0xb884;io_shiftkey
500;0xb884;io_shiftkey
501;0xb884;io_shiftkey
502;0xb770;setphysic
503;0xb7ee;SYS_GetMouse
504;0xb812;SYS_Joystick
505;0xb884;io_shiftkey
506;0xb884;io_shiftkey
507;0xb884;io_shiftkey
508;0xb7ee;SYS_GetMouse
509;0xb812;SYS_Joystick
510;0xb884;io_shiftkey
511;0xb884;io_shiftkey
512;0xb884;io_shiftkey
513;0xb7ee;SYS_GetMouse
514;0xb812;SYS_Joystick
